,Title,Price,Star Rating
0,A Light in the Attic,51.77,Three
1,Tipping the Velvet,53.74,One
2,Soumission,50.1,One
3,Sharp Objects,47.82,Four
4,Sapiens: A Brief History of Humankind,54.23,Five
5,The Requiem Red,22.65,One
6,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
9,The Black Maria,52.15,One
10,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
11,Shakespeare's Sonnets,20.66,Four
12,Set Me Free,17.46,Five
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
14,Rip it Up and Start Again,35.02,Five
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
16,Olio,23.88,One
17,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
18,Libertarianism for Beginners,51.33,Two
19,It's Only the Himalayas,45.17,Two
20,A Light in the Attic,51.77,Three
21,Tipping the Velvet,53.74,One
22,Soumission,50.1,One
23,Sharp Objects,47.82,Four
24,Sapiens: A Brief History of Humankind,54.23,Five
25,The Requiem Red,22.65,One
26,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
27,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
28,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
29,The Black Maria,52.15,One
30,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
31,Shakespeare's Sonnets,20.66,Four
32,Set Me Free,17.46,Five
33,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
34,Rip it Up and Start Again,35.02,Five
35,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
36,Olio,23.88,One
37,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
38,Libertarianism for Beginners,51.33,Two
39,It's Only the Himalayas,45.17,Two
40,A Light in the Attic,51.77,Three
41,Tipping the Velvet,53.74,One
42,Soumission,50.1,One
43,Sharp Objects,47.82,Four
44,Sapiens: A Brief History of Humankind,54.23,Five
45,The Requiem Red,22.65,One
46,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
47,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
48,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
49,The Black Maria,52.15,One
50,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
51,Shakespeare's Sonnets,20.66,Four
52,Set Me Free,17.46,Five
53,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
54,Rip it Up and Start Again,35.02,Five
55,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
56,Olio,23.88,One
57,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
58,Libertarianism for Beginners,51.33,Two
59,It's Only the Himalayas,45.17,Two
60,A Light in the Attic,51.77,Three
61,Tipping the Velvet,53.74,One
62,Soumission,50.1,One
63,Sharp Objects,47.82,Four
64,Sapiens: A Brief History of Humankind,54.23,Five
65,The Requiem Red,22.65,One
66,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
67,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
68,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
69,The Black Maria,52.15,One
70,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
71,Shakespeare's Sonnets,20.66,Four
72,Set Me Free,17.46,Five
73,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
74,Rip it Up and Start Again,35.02,Five
75,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
76,Olio,23.88,One
77,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
78,Libertarianism for Beginners,51.33,Two
79,It's Only the Himalayas,45.17,Two
80,A Light in the Attic,51.77,Three
81,Tipping the Velvet,53.74,One
82,Soumission,50.1,One
83,Sharp Objects,47.82,Four
84,Sapiens: A Brief History of Humankind,54.23,Five
85,The Requiem Red,22.65,One
86,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
87,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
88,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
89,The Black Maria,52.15,One
90,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
91,Shakespeare's Sonnets,20.66,Four
92,Set Me Free,17.46,Five
